# mesh name: boxMesh_1
# primitive scorer name: doseScorer
# iX, iY, iZ, total(value) [MeV], total(val^2), entry
0,0,0,7127968.326462319,8600335.612547439,10000000
0,0,1,7201930.202395881,9243859.943683961,9998174
0,0,2,7257215.554334099,9498424.725541953,9994244
0,0,3,7304320.726481169,9716646.920091726,9989236
0,0,4,7352240.059520566,9991103.32994579,9983340
0,0,5,7394697.021603852,10098095.20673721,9976770
0,0,6,7436548.820835205,10289259.11658104,9969354
0,0,7,7473981.553762001,10369266.19494789,9961386
0,0,8,7509944.541954548,10418158.20570435,9952624
0,0,9,7544892.60444417,10461421.68600727,9943304
0,0,10,7579567.047771937,10554889.03025355,9933481
0,0,11,7612599.23324677,10553919.90348924,9923254
0,0,12,7647215.414987077,10673510.71910012,9912627
0,0,13,7683042.505136081,10715663.30164847,9901577
0,0,14,7718939.576858803,10859207.8177989,9890099
0,0,15,7753696.039170378,10982842.6488568,9877793
0,0,16,7787578.936536808,10976373.20565003,9865507
0,0,17,7817166.622107545,10911510.31789062,9852721
0,0,18,7855908.057988069,11178534.47023042,9839306
0,0,19,7888101.655303529,11173480.23556871,9825587
0,0,20,7917969.425095876,11179317.75026122,9811515
0,0,21,7954627.644563353,11266534.5769496,9797166
0,0,22,7984811.10023833,11214734.38250449,9782606
0,0,23,8021788.571979692,11365153.31110959,9767760
0,0,24,8053877.642920544,11415878.79628605,9752590
0,0,25,8091622.93986535,11461062.65547561,9736964
0,0,26,8129592.313636046,11633983.03101338,9720925
0,0,27,8161708.809666161,11624603.13355472,9704302
0,0,28,8198129.320178621,11693540.38798725,9687669
0,0,29,8235215.68170287,11774330.85237403,9670743
0,0,30,8273594.655142519,11932890.76558414,9653615
0,0,31,8310320.640234889,11889804.31679633,9636130
0,0,32,8346902.313464163,11986771.23052714,9618306
0,0,33,8388148.311922288,12095365.66621235,9600133
0,0,34,8427723.879528455,12235465.18955332,9581622
0,0,35,8462521.088418942,12155890.82491317,9562853
0,0,36,8503639.03572982,12191150.37937473,9543916
0,0,37,8547287.526391713,12442200.97105994,9524676
0,0,38,8589144.481754471,12508942.88188102,9504913
0,0,39,8631093.580868095,12621286.07446016,9485147
0,0,40,8668150.733958885,12747662.38253039,9464825
0,0,41,8671962.715755098,12664028.32883678,9444166
0,0,42,8650724.216381609,12608312.11331192,9423535
0,0,43,8667548.104682539,12738948.62220156,9402498
0,0,44,8718730.844990795,12829462.26996276,9381391
0,0,45,8776470.150355784,12803979.13672542,9359609
0,0,46,8840671.71434311,13020534.57484764,9337752
0,0,47,8903618.433850808,12954976.59888165,9315635
0,0,48,8977832.254394425,13244868.96648721,9293167
0,0,49,9052559.145312175,13449044.82632232,9270303
0,0,50,9127464.333452959,13527613.65968871,9247473
0,0,51,9202082.615816489,13590805.79455392,9224273
0,0,52,9285837.03344585,13944463.71985193,9200583
0,0,53,9367662.195389383,14132448.1233279,9177244
0,0,54,9449789.012403784,14355660.38712544,9153089
0,0,55,9524202.172398714,14428769.57158939,9128900
0,0,56,9597977.351023793,14605648.11246806,9103910
0,0,57,9671778.062327597,14858573.70528654,9078977
0,0,58,9730917.357948391,14822667.08584019,9053727
0,0,59,9796693.89549512,15101457.21204802,9028192
0,0,60,9856288.642410377,15261957.84550384,9002539
0,0,61,9919839.381955847,15420003.36867065,8976628
0,0,62,9986500.376052991,15643350.78545259,8950090
0,0,63,10057246.44420925,15698186.12040658,8923308
0,0,64,10139757.13158306,15934134.08164975,8896148
0,0,65,10233712.67123736,16325160.24749544,8868448
0,0,66,10337111.49449426,16585765.51796174,8840502
0,0,67,10453383.5926761,16919055.47025795,8812136
0,0,68,10577647.83827679,17200995.58649694,8783225
0,0,69,10716227.88181455,17539880.22785527,8754087
0,0,70,10871222.89775079,18049079.83604664,8724809
0,0,71,11032794.51676843,18432655.11589188,8694919
0,0,72,11206386.16696299,19001164.74762657,8664611
0,0,73,11383685.09715677,19529168.58251405,8634108
0,0,74,11563616.69492538,20063792.51435138,8602606
0,0,75,11742221.7467909,20588570.86018253,8570892
0,0,76,11918411.05886064,21116019.29470452,8538410
0,0,77,12106704.06220792,21805473.83412691,8505269
0,0,78,12305811.69873021,22450110.02039112,8471452
0,0,79,12535526.0794683,23297713.07342602,8437338
0,0,80,12799239.96311699,24311412.5160912,8402637
0,0,81,13103663.38908765,25493714.31522589,8366932
0,0,82,13446810.29395314,26851990.90483274,8330061
0,0,83,13824710.72406092,28225556.50866339,8292442
0,0,84,14226995.24445045,29627084.73173036,8253292
0,0,85,14649979.24189492,30996852.17850605,8212484
0,0,86,15130881.62871753,32925833.60647615,8171136
0,0,87,15678558.41162664,34989134.68257219,8128453
0,0,88,16344170.89626835,37715400.79486717,8084019
0,0,89,17158461.26613444,41401005.90335742,8037758
0,0,90,18140548.92064896,46161881.85185907,7987969
0,0,91,19350358.27003765,52545518.78842493,7933173
0,0,92,20905249.41537567,61503708.63915735,7870326
0,0,93,23012511.31547572,75020732.76932725,7792974
0,0,94,26104399.72251423,98271201.01616247,7687058
0,0,95,30813210.21948073,142114725.7117682,7501936
0,0,96,35339299.6903737,199849461.6688417,6993747
0,0,97,31626494.07131496,201019940.7122552,5530609
0,0,98,16995892.81313414,110241188.569324,2989380
0,0,99,4488283.325071148,27728348.17745701,874622
0,0,100,507792.300693094,2854469.026779078,118972
0,0,101,27139.24184596425,141713.9632176071,11968
0,0,102,5673.854139756367,30889.71439579253,6332
0,0,103,5243.225387182622,29531.88756614575,6113
0,0,104,4946.178224828634,26981.98000108894,5833
0,0,105,4919.22045219215,26953.33643255954,5679
0,0,106,4856.769903028405,28963.7118700098,5472
0,0,107,4561.230150030064,26357.44413199227,5254
0,0,108,4177.545410709701,23365.4318991095,5078
