Peak_Number,Energy_MeV,Counts,FWHM_MeV,Area,Left_Edge_MeV,Right_Edge_MeV
1,0.165,95370,0.26799712004905774,2555888.5339078633,0.16,0.17
2,0.715,69805,0.0321866411152466,224678.84830497886,0.71,0.72
3,1.025,38237,0.043343335102703974,165731.91043220917,1.02,1.03
4,1.335,26116,0.021885341639088837,57155.75822464441,1.33,1.34
5,1.435,26231,0.03337263605539221,87539.7616368993,1.43,1.44
6,1.6350000000000002,36885,0.04557330915168649,168097.15080599562,1.6300000000000001,1.6400000000000001
7,1.8650000000000002,21989,0.030613207547169737,67315.38207547153,1.86,1.87
8,2.005,28893,0.07080126622540632,204566.09850506647,2.0,2.0100000000000002
9,2.125,25104,0.06182587892656557,155207.6864572502,2.12,2.13
10,2.315,58150,0.07177008095460963,417343.020751055,2.31,2.32
11,2.475,19579,0.03292105263157907,64456.12894736866,2.47,2.48
12,2.705,12639,0.032513951734540004,41094.38359728511,2.7,2.71
13,2.805,13879,0.11910654918973705,165307.97962043603,2.8000000000000003,2.81
14,3.085,13690,0.06702508291873983,91757.33851575482,3.08,3.09
15,3.215,13290,0.04235093069723405,56284.38689662405,3.21,3.22
16,3.325,10373,0.052209302325581464,54156.70930232565,3.3200000000000003,3.33
17,3.515,8904,0.02539638932496075,22612.945054945052,3.5100000000000002,3.52
18,3.685,12715,0.13865722311396497,176302.65918940646,3.68,3.69
19,3.885,12711,0.10124122124199972,128687.71632070583,3.88,3.89
20,4.4350000000000005,57240,0.14371736463580248,822638.1951753334,4.43,4.44
21,4.905,8289,0.049951586706646935,41404.870221139645,4.9,4.91
22,5.115,8051,0.08091799525101692,65147.07797659372,5.11,5.12
23,5.275,8862,0.12311816464031494,109107.31750424711,5.2700000000000005,5.28
24,5.445,5614,0.03753276209677438,21070.892641129132,5.44,5.45
25,6.065,4853,0.02921652421652425,14178.779202279218,6.0600000000000005,6.07
26,6.205,4860,0.029538964303669674,14355.936651583463,6.2,6.21
27,6.475,5789,0.14739347766133393,85326.0842181462,6.47,6.48
28,7.015000000000001,3996,0.16504346272922135,65951.36770659685,7.01,7.0200000000000005
29,7.615,1773,0.029500000000000456,5230.350000000081,7.61,7.62
30,9.035,362,0.027254901960784537,986.6274509804002,9.03,9.040000000000001
