# Gamma Energy Spectrum Data
# Bin Size: 0.1 MeV
# Total Events: 14282220
# Bin_Center(MeV) Count Count_Per_MeV
0.050 632169 6321690.00
0.150 893272 8932720.00
0.250 842347 8423470.00
0.350 630213 6302130.00
0.450 536937 5369370.00
0.550 504109 5041090.00
0.650 387893 3878930.00
0.750 458415 4584150.00
0.850 323472 3234720.00
0.950 323400 3234000.00
1.050 338905 3389050.00
1.150 286273 2862730.00
1.250 263140 2631400.00
1.350 255986 2559860.00
1.450 253738 2537380.00
1.550 239284 2392840.00
1.650 295257 2952570.00
1.750 221065 2210650.00
1.850 218512 2185120.00
1.950 242173 2421730.00
2.050 246191 2461910.00
2.150 234738 2347380.00
2.250 284022 2840220.00
2.350 414678 4146780.00
2.450 200898 2008980.00
2.550 179945 1799450.00
2.650 134761 1347610.00
2.750 129378 1293780.00
2.850 134981 1349810.00
2.950 126033 1260330.00
3.050 130169 1301690.00
3.150 127540 1275400.00
3.250 119438 1194380.00
3.350 102608 1026080.00
3.450 93178 931780.00
3.550 88998 889980.00
3.650 115845 1158450.00
3.750 112784 1127840.00
3.850 122389 1223890.00
3.950 103948 1039480.00
4.050 89111 891110.00
4.150 82482 824820.00
4.250 97161 971610.00
4.350 270319 2703190.00
4.450 517730 5177300.00
4.550 183342 1833420.00
4.650 70739 707390.00
4.750 73934 739340.00
4.850 80317 803170.00
4.950 78945 789450.00
5.050 78036 780360.00
5.150 78633 786330.00
5.250 85295 852950.00
5.350 69347 693470.00
5.450 55306 553060.00
5.550 53691 536910.00
5.650 52109 521090.00
5.750 50905 509050.00
5.850 49271 492710.00
5.950 47160 471600.00
6.050 47033 470330.00
6.150 47618 476180.00
6.250 47424 474240.00
6.350 51916 519160.00
6.450 56290 562900.00
6.550 45678 456780.00
6.650 36205 362050.00
6.750 33160 331600.00
6.850 33201 332010.00
6.950 37010 370100.00
7.050 37835 378350.00
7.150 30038 300380.00
7.250 25334 253340.00
7.350 23193 231930.00
7.450 20517 205170.00
7.550 18762 187620.00
7.650 16782 167820.00
7.750 15658 156580.00
7.850 14347 143470.00
7.950 13681 136810.00
8.050 12323 123230.00
8.150 10985 109850.00
8.250 9342 93420.00
8.350 8285 82850.00
8.450 7364 73640.00
8.550 6595 65950.00
8.650 5852 58520.00
8.750 4913 49130.00
8.850 4204 42040.00
8.950 3789 37890.00
9.050 3364 33640.00
9.150 2963 29630.00
9.250 2422 24220.00
9.350 2017 20170.00
9.450 1795 17950.00
9.550 1559 15590.00
9.650 1408 14080.00
9.750 1230 12300.00
9.850 1086 10860.00
9.950 921 9210.00
10.050 888 8880.00
10.150 790 7900.00
10.250 712 7120.00
10.350 571 5710.00
10.450 518 5180.00
10.550 427 4270.00
10.650 367 3670.00
10.750 309 3090.00
10.850 242 2420.00
10.950 198 1980.00
11.050 133 1330.00
11.150 106 1060.00
11.250 76 760.00
11.350 56 560.00
11.450 65 650.00
11.550 45 450.00
11.650 56 560.00
11.750 54 540.00
11.850 60 600.00
11.950 55 550.00
12.050 54 540.00
12.150 49 490.00
12.250 51 510.00
12.350 48 480.00
12.450 63 630.00
12.550 72 720.00
12.650 75 750.00
12.750 59 590.00
12.850 57 570.00
12.950 65 650.00
13.050 79 790.00
13.150 73 730.00
13.250 69 690.00
13.350 68 680.00
13.450 75 750.00
13.550 80 800.00
13.650 72 720.00
13.750 77 770.00
13.850 71 710.00
13.950 83 830.00
14.050 82 820.00
14.150 80 800.00
14.250 83 830.00
14.350 87 870.00
14.450 92 920.00
14.550 104 1040.00
14.650 99 990.00
14.750 88 880.00
14.850 89 890.00
14.950 101 1010.00
15.050 82 820.00
15.150 104 1040.00
15.250 118 1180.00
15.350 107 1070.00
15.450 80 800.00
15.550 104 1040.00
15.650 98 980.00
15.750 106 1060.00
15.850 115 1150.00
15.950 107 1070.00
16.050 122 1220.00
16.150 130 1300.00
16.250 122 1220.00
16.350 127 1270.00
16.450 110 1100.00
16.550 106 1060.00
16.650 122 1220.00
16.750 110 1100.00
16.850 112 1120.00
16.950 136 1360.00
17.050 133 1330.00
17.150 121 1210.00
17.250 140 1400.00
17.350 150 1500.00
17.450 129 1290.00
17.550 137 1370.00
17.650 141 1410.00
17.750 124 1240.00
17.850 153 1530.00
17.950 160 1600.00
18.050 146 1460.00
18.150 135 1350.00
18.250 146 1460.00
18.350 152 1520.00
18.450 149 1490.00
18.550 150 1500.00
18.650 148 1480.00
18.750 159 1590.00
18.850 162 1620.00
18.950 150 1500.00
19.050 160 1600.00
19.150 169 1690.00
19.250 146 1460.00
19.350 128 1280.00
19.450 152 1520.00
19.550 179 1790.00
19.650 171 1710.00
19.750 172 1720.00
19.850 148 1480.00
19.950 160 1600.00
20.050 153 1530.00
20.150 155 1550.00
20.250 167 1670.00
20.350 169 1690.00
20.450 158 1580.00
20.550 182 1820.00
20.650 155 1550.00
20.750 172 1720.00
20.850 158 1580.00
20.950 171 1710.00
21.050 173 1730.00
21.150 175 1750.00
21.250 178 1780.00
21.350 176 1760.00
21.450 160 1600.00
21.550 147 1470.00
21.650 160 1600.00
21.750 167 1670.00
21.850 147 1470.00
21.950 166 1660.00
22.050 166 1660.00
22.150 161 1610.00
22.250 144 1440.00
22.350 158 1580.00
22.450 153 1530.00
22.550 168 1680.00
22.650 154 1540.00
22.750 144 1440.00
22.850 143 1430.00
22.950 155 1550.00
23.050 147 1470.00
23.150 146 1460.00
23.250 146 1460.00
23.350 156 1560.00
23.450 166 1660.00
23.550 165 1650.00
23.650 152 1520.00
23.750 107 1070.00
23.850 134 1340.00
23.950 125 1250.00
24.050 115 1150.00
24.150 125 1250.00
24.250 111 1110.00
24.350 135 1350.00
24.450 124 1240.00
24.550 112 1120.00
24.650 108 1080.00
24.750 129 1290.00
24.850 108 1080.00
24.950 109 1090.00
25.050 110 1100.00
25.150 115 1150.00
25.250 88 880.00
25.350 92 920.00
25.450 92 920.00
25.550 89 890.00
25.650 89 890.00
25.750 83 830.00
25.850 96 960.00
25.950 85 850.00
26.050 77 770.00
26.150 101 1010.00
26.250 90 900.00
26.350 75 750.00
26.450 78 780.00
26.550 66 660.00
26.650 79 790.00
26.750 83 830.00
26.850 66 660.00
26.950 69 690.00
27.050 74 740.00
27.150 69 690.00
27.250 52 520.00
27.350 59 590.00
27.450 63 630.00
27.550 53 530.00
27.650 56 560.00
27.750 52 520.00
27.850 51 510.00
27.950 45 450.00
28.050 60 600.00
28.150 62 620.00
28.250 46 460.00
28.350 58 580.00
28.450 44 440.00
28.550 49 490.00
28.650 42 420.00
28.750 44 440.00
28.850 35 350.00
28.950 25 250.00
29.050 44 440.00
29.150 35 350.00
29.250 29 290.00
29.350 37 370.00
29.450 31 310.00
29.550 40 400.00
29.650 33 330.00
29.750 28 280.00
29.850 27 270.00
29.950 24 240.00
