# Gamma Energy Spectrum Data
# Bin Size: 0.1 MeV
# Total Events: 14257014
# Bin_Center(MeV) Count Count_Per_MeV
0.050 632169 6321690.00
0.150 893272 8932720.00
0.250 842347 8423470.00
0.350 630213 6302130.00
0.450 536937 5369370.00
0.550 504109 5041090.00
0.650 387893 3878930.00
0.750 458415 4584150.00
0.850 323472 3234720.00
0.950 323400 3234000.00
1.050 338905 3389050.00
1.150 286273 2862730.00
1.250 263140 2631400.00
1.350 255986 2559860.00
1.450 253738 2537380.00
1.550 239284 2392840.00
1.650 295257 2952570.00
1.750 221065 2210650.00
1.850 218512 2185120.00
1.950 242173 2421730.00
2.050 246191 2461910.00
2.150 234738 2347380.00
2.250 284022 2840220.00
2.350 414678 4146780.00
2.450 200898 2008980.00
2.550 179945 1799450.00
2.650 134761 1347610.00
2.750 129378 1293780.00
2.850 134981 1349810.00
2.950 126033 1260330.00
3.050 130169 1301690.00
3.150 127540 1275400.00
3.250 119438 1194380.00
3.350 102608 1026080.00
3.450 93178 931780.00
3.550 88998 889980.00
3.650 115845 1158450.00
3.750 112784 1127840.00
3.850 122389 1223890.00
3.950 103948 1039480.00
4.050 89111 891110.00
4.150 82482 824820.00
4.250 97161 971610.00
4.350 270319 2703190.00
4.450 517730 5177300.00
4.550 183342 1833420.00
4.650 70739 707390.00
4.750 73934 739340.00
4.850 80317 803170.00
4.950 78945 789450.00
5.050 78036 780360.00
5.150 78633 786330.00
5.250 85295 852950.00
5.350 69347 693470.00
5.450 55306 553060.00
5.550 53691 536910.00
5.650 52109 521090.00
5.750 50905 509050.00
5.850 49271 492710.00
5.950 47160 471600.00
6.050 47033 470330.00
6.150 47618 476180.00
6.250 47424 474240.00
6.350 51916 519160.00
6.450 56290 562900.00
6.550 45678 456780.00
6.650 36205 362050.00
6.750 33160 331600.00
6.850 33201 332010.00
6.950 37010 370100.00
7.050 37835 378350.00
7.150 30038 300380.00
7.250 25334 253340.00
7.350 23193 231930.00
7.450 20517 205170.00
7.550 18762 187620.00
7.650 16782 167820.00
7.750 15658 156580.00
7.850 14347 143470.00
7.950 13681 136810.00
8.050 12323 123230.00
8.150 10985 109850.00
8.250 9342 93420.00
8.350 8285 82850.00
8.450 7364 73640.00
8.550 6595 65950.00
8.650 5852 58520.00
8.750 4913 49130.00
8.850 4204 42040.00
8.950 3789 37890.00
9.050 3364 33640.00
9.150 2963 29630.00
9.250 2422 24220.00
9.350 2017 20170.00
9.450 1795 17950.00
9.550 1559 15590.00
9.650 1408 14080.00
9.750 1230 12300.00
9.850 1086 10860.00
9.950 921 9210.00
